review_id,date,os,version,rating,content,category_hint
R0001,2026-01-20,Android,v4.0.0,2,通知太多請給關閉選項,通知
R0002,2026-01-10,iOS,v3.6.0,1,一直當機沒辦法用,穩定性
R0003,2026-01-08,iOS,v3.5.2,5,夜間模式終於來了,UI
R0004,2026-02-25,Android,v3.5.2,2,廣告太多體驗差,體驗
R0005,2026-01-12,Android,v3.5.2,4,介面變漂亮了,UI
R0006,2026-01-16,iOS,v4.0.0,5,夜間模式終於來了,UI
R0007,2026-01-08,Android,v3.5.2,5,夜間模式終於來了,UI
R0008,2026-01-06,iOS,v3.6.0,4,介面變漂亮了,UI
R0009,2026-01-19,iOS,v3.7.0,5,地圖功能很好用,功能
R0010,2026-03-13,iOS,v3.5.2,2,AI 推薦不準,推薦
R0011,2026-03-15,iOS,v3.6.0,5,夜間模式終於來了,UI
R0012,2026-03-12,iOS,v3.7.0,1,登入一直失敗,登入
R0013,2026-03-21,iOS,v3.6.1,1,一直當機沒辦法用,穩定性
R0014,2026-02-24,Android,v3.6.1,5,分享給家人功能讚,社群
R0015,2026-02-28,Android,v3.6.0,5,夜間模式終於來了,UI
R0016,2026-04-12,iOS,v4.0.0,4,介面變漂亮了,UI
R0017,2026-01-11,Android,v3.7.0,4,介面變漂亮了,UI
R0018,2026-02-13,Android,v3.6.0,1,每次更新就壞東西,更新
R0019,2026-01-10,iOS,v3.7.0,2,收費變貴 CP 值低,計價
R0020,2026-01-22,Android,v3.5.3,5,地圖功能很好用,功能
R0021,2026-02-23,iOS,v4.0.0,1,每次更新就壞東西,更新
R0022,2026-04-08,Android,v3.6.0,2,廣告太多體驗差,體驗
R0023,2026-03-18,Android,v3.7.0,2,優惠券常常用不了,促銷
R0024,2026-01-09,iOS,v3.6.0,4,結帳速度比之前快,支付
R0025,2026-03-31,iOS,v3.5.2,1,每次更新就壞東西,更新
R0026,2026-03-24,Android,v3.6.0,2,AI 推薦不準,推薦
R0027,2026-03-27,Android,v3.5.2,2,會員點數兌換流程複雜,會員
R0028,2026-02-15,iOS,v3.7.0,4,結帳速度比之前快,支付
R0029,2026-03-05,iOS,v3.5.3,1,登入一直失敗,登入
R0030,2026-01-17,iOS,v3.6.1,2,AI 推薦不準,推薦
R0031,2026-03-05,iOS,v3.5.3,2,會員點數兌換流程複雜,會員
R0032,2026-02-21,Android,v3.5.3,4,結帳速度比之前快,支付
R0033,2026-04-21,Android,v4.0.0,5,地圖功能很好用,功能
R0034,2026-02-15,Android,v3.5.3,5,地圖功能很好用,功能
R0035,2026-01-11,iOS,v3.5.3,5,付款流程很順,支付
R0036,2026-03-26,iOS,v3.5.2,4,介面變漂亮了,UI
R0037,2026-04-17,iOS,v3.6.0,1,每次更新就壞東西,更新
R0038,2026-01-01,iOS,v3.6.1,2,AI 推薦不準,推薦
R0039,2026-02-17,Android,v3.5.3,5,分享給家人功能讚,社群
R0040,2026-03-21,iOS,v3.6.1,5,生物辨識登入很方便,登入
R0041,2026-02-20,Android,v3.6.1,5,分享給家人功能讚,社群
R0042,2026-01-14,Android,v4.0.0,2,會員點數兌換流程複雜,會員
R0043,2026-01-08,iOS,v3.5.2,2,會員點數兌換流程複雜,會員
R0044,2026-02-26,iOS,v3.5.2,2,找不到我要的功能,可用性
R0045,2026-03-18,iOS,v3.5.2,2,通知太多請給關閉選項,通知
R0046,2026-03-14,iOS,v3.7.0,1,更新後變超慢,效能
R0047,2026-02-16,iOS,v3.5.2,1,登入一直失敗,登入
R0048,2026-03-20,Android,v3.5.3,2,找不到我要的功能,可用性
R0049,2026-02-14,Android,v3.6.1,1,常常閃退,穩定性
R0050,2026-01-15,Android,v3.6.1,1,登入一直失敗,登入
R0051,2026-03-03,Android,v3.5.2,1,每次更新就壞東西,更新
R0052,2026-01-14,Android,v4.0.0,5,付款流程很順,支付
R0053,2026-03-03,iOS,v3.7.0,1,常常閃退,穩定性
R0054,2026-01-27,Android,v3.5.3,1,更新後變超慢,效能
R0055,2026-01-04,Android,v4.0.0,5,分享給家人功能讚,社群
R0056,2026-03-31,Android,v3.7.0,2,廣告太多體驗差,體驗
R0057,2026-01-22,Android,v4.0.1,2,優惠券常常用不了,促銷
R0058,2026-03-10,Android,v4.0.0,4,介面變漂亮了,UI
R0059,2026-03-20,iOS,v4.0.1,4,介面變漂亮了,UI
R0060,2026-04-15,Android,v4.0.0,4,介面變漂亮了,UI
R0061,2026-01-26,Android,v3.6.0,4,介面變漂亮了,UI
R0062,2026-01-04,Android,v3.6.1,1,更新後變超慢,效能
R0063,2026-01-25,Android,v3.6.1,1,常常閃退,穩定性
R0064,2026-02-16,iOS,v3.5.3,2,優惠券常常用不了,促銷
R0065,2026-01-30,Android,v3.5.3,1,登入一直失敗,登入
R0066,2026-01-27,Android,v3.7.0,2,通知太多請給關閉選項,通知
R0067,2026-04-18,iOS,v3.6.1,2,收費變貴 CP 值低,計價
R0068,2026-04-13,iOS,v4.0.1,2,優惠券常常用不了,促銷
R0069,2026-02-19,iOS,v3.6.1,1,登入一直失敗,登入
R0070,2026-02-25,Android,v3.5.2,5,客服回應很快,客服
