批号,投入日,良率(%),键合机,等离子机,腔体,基板批,塑封料批,班次
L-2601,2026-09-15,91.8,WB-11,PL-02,B,TW-L3-0905,MC-2608A,A 班
L-2602,2026-09-08,97.2,WB-12,PL-01,A,TW-L3-0905,MC-2608A,B 班
L-2603,2026-09-15,92.4,WB-12,PL-02,B,TW-L3-0905,MC-2608A,B 班
L-2604,2026-09-09,96.8,WB-11,PL-02,A,TW-L3-0912,MC-2609A,C 班
L-2605,2026-09-10,97.5,WB-13,PL-01,B,TW-L3-0912,MC-2608A,A 班
L-2606,2026-09-16,90.9,WB-11,PL-02,B,TW-L3-0912,MC-2609A,C 班
L-2607,2026-09-11,96.9,WB-11,PL-02,A,TW-L3-0919,MC-2609A,A 班
L-2608,2026-09-17,92.1,WB-13,PL-02,B,TW-L3-0912,MC-2609A,A 班
L-2609,2026-09-12,97.4,WB-12,PL-01,A,TW-L3-0919,MC-2609A,B 班
L-2610,2026-09-18,91.5,WB-12,PL-02,B,TW-L3-0919,MC-2609A,B 班
L-2611,2026-09-12,97.0,WB-13,PL-01,B,TW-L3-0905,MC-2608A,C 班
L-2612,2026-09-19,92.6,WB-13,PL-02,B,TW-L3-0919,MC-2609A,C 班
